date_case,Confirmed,Recovered,Deaths
2020-05-28,13039,1209,236
2020-05-29,13662,1259,247
2020-05-30,14528,1303,250
2020-05-31,15208,1328,258
2020-06-01,15753,1428,266
2020-06-02,16512,1450,274
2020-06-03,17270,1522,298
2020-06-04,18057,1585,304
2020-06-05,18972,1762,313
2020-06-06,19554,1830,331
2020-06-07,20345,1875,361
2020-06-08,20920,2171,373
2020-06-09,21462,2651,388
2020-06-10,22146,3013,409
2020-06-11,22894,3326,430
2020-06-12,23550,3928,450
2020-06-13,24106,4201,455
2020-06-14,24770,4725,475
2020-06-15,25531,5164,482
2020-06-16,26314,5508,495
2020-06-17,26878,6158,508
2020-06-18,27536,7660,550
2020-06-19,27882,7962,552
2020-06-20,28428,8292,573
2020-06-21,28837,8764,585
2020-06-22,29147,8841,597
2020-06-23,29471,9260,617
2020-06-24,29705,9869,638
2020-06-25,30165,10174,674
2020-06-26,30441,10306,682
2020-06-27,30606,10674,716
2020-06-28,30957,12604,728
2020-06-29,31228,13934,740
2020-06-30,31507,14131,752
2020-07-01,31826,15651,780
2020-07-02,32012,16041,809
2020-07-03,32314,17331,821
2020-07-04,32662,19164,828
2020-07-05,32941,19366,866
2020-07-06,33180,20103,900
2020-07-07,33374,20179,922
2020-07-08,33584,20700,939
2020-07-09,33898,20847,959
2020-07-10,34184,20882,973
2020-07-11,34356,21135,996
2020-07-12,34441,21216,1012
2020-07-13,34595,21254,1040
2020-07-14,34730,21454,1064
2020-07-15,34984,22456,1096
2020-07-16,35060,22824,1117
2020-07-17,35219,23151,1149
2020-07-18,35279,23273,1166
2020-07-19,35453,23634,1183
2020-07-20,35493,23741,1185
2020-07-21,35605,23741,1188
2020-07-22,35717,23924,1192
2020-07-23,35918,24550,1213
2020-07-24,35978,24602,1227
2020-07-25,36026,24793,1249
2020-07-26,36147,25180,1261
2020-07-27,36253,25198,1271
2020-07-28,36358,25358,1272
2020-07-29,36463,25389,1273
2020-07-30,36532,25471,1283
2020-07-31,36665,25509,1284
2020-08-01,36700,25509,1285
2020-08-02,36701,25510,1286
2020-08-03,36737,25669,1290
2020-08-04,36773,25669,1290
2020-08-05,36820,25742,1296
2020-08-06,36928,25840,1301
2020-08-07,37006,25903,1310
2020-08-08,37046,25960,1315
2020-08-09,37083,25960,1321
2020-08-10,37153,26228,1329
2020-08-11,37260,26415,1346
2020-08-12,37336,26694,1356
2020-08-13,37422,26714,1365
2020-08-14,37497,26714,1370
2020-08-15,37542,27166,1371
2020-08-16,37590,27166,1376
2020-08-17,37667,27166,1378
2020-08-18,37710,27166,1382
2020-08-19,37750,27166,1384
2020-08-20,37852,27681,1386
2020-08-21,37885,28016,1386
2020-08-22,37944,28016,1386
2020-08-23,37990,28180,1388
2020-08-24,38045,28360,1390
2020-08-25,38061,28440,1398
2020-08-26,38103,29042,1402
2020-08-27,38119,29046,1402
2020-08-28,38130,29059,1403
2020-08-29,38133,29063,1403
2020-08-30,38155,29089,1403
2020-08-31,38159,29089,1403
2020-09-01,38193,29231,1407
2020-09-02,38243,29315,1410
2020-09-03,38288,29390,1410
2020-09-04,38304,29713,1410
2020-09-05,38324,30082,1410
2020-09-06,38398,30537,1413
2020-09-07,38494,30557,1416
2020-09-08,38520,30715,1419
2020-09-09,38544,31048,1421
2020-09-10,38572,31129,1421
2020-09-11,38606,31154,1421
2020-09-12,38641,31234,1421
2020-09-13,38716,31638,1421
2020-09-14,38772,32073,1427
2020-09-15,38815,32098,1428
2020-09-16,38855,32503,1438
2020-09-17,38872,32505,1438
2020-09-18,38897,32576,1439
2020-09-19,38919,32576,1439
2020-09-20,39044,32576,1443
2020-09-21,39074,32576,1446
2020-09-22,39096,32576,1447
2020-09-23,39145,32610,1448
2020-09-24,39170,32619,1453
2020-09-25,39186,32619,1453
2020-09-26,39192,32635,1455
2020-09-27,39227,32642,1455
2020-09-28,39239,32642,1458
2020-09-29,39254,32746,1460
2020-09-30,39268,32789,1460
2020-10-01,39285,32842,1460
2020-10-02,39290,32842,1460
2020-10-03,39297,32842,1464
2020-10-04,39341,32852,1464
2020-10-05,39422,32879,1468
2020-10-06,39486,32977,1469
2020-10-07,39548,33045,1471
2020-10-08,39616,33058,1472
2020-10-09,39693,33058,1474
2020-10-10,39703,33064,1475
2020-10-11,39799,33114,1479
2020-10-12,39870,33118,1481
2020-10-13,39928,33308,1482
2020-10-14,39994,33354,1483
2020-10-15,40026,33447,1483
2020-10-16,40088,33516,1487
2020-10-17,40141,33561,1490
2020-10-18,40200,33614,1494
2020-10-19,40287,33760,1499
2020-10-20,40369,33790,1501
2020-10-21,40510,33824,1503
2020-10-22,40626,33831,1507
2020-10-23,40687,34010,1509
2020-10-24,40768,34023,1513
2020-10-25,40833,34129,1516
2020-10-26,40937,34150,1520
2020-10-27,41032,34217,1525
2020-10-28,41145,34237,1531
2020-10-29,41268,34239,1534
2020-10-30,41334,34258,1535
2020-10-31,41425,34321,1538
2020-11-01,41501,34326,1538
2020-11-02,41633,34342,1544
2020-11-03,41728,34355,1547
2020-11-04,41814,34362,1551
2020-11-05,41935,34440,1557
2020-11-06,41975,34440,1557
2020-11-07,42033,34446,1559
2020-11-08,42159,34458,1565
2020-11-09,42297,34721,1577
2020-11-10,42463,34954,1580
2020-11-11,42609,34967,1584
2020-11-12,42795,35024,1594
2020-11-13,42969,35036,1598
2020-11-14,43035,35067,1608
2020-11-15,43240,35092,1620
2020-11-16,43468,35137,1635
2020-11-17,43681,35160,1641
2020-11-18,43924,35295,1648
2020-11-19,44177,35350,1653
2020-11-20,44363,35370,1666
2020-11-21,44503,35422,1678
2020-11-22,44706,35934,1690
2020-11-23,44988,35976,1702
2020-11-24,45174,36122,1715
2020-11-25,45384,36145,1728
2020-11-26,45600,36232,1737
2020-11-27,45723,36295,1740
2020-11-28,45844,36709,1752
2020-11-29,46116,36716,1774
2020-11-30,46274,36831,1795
2020-12-01,46516,36946,1822
2020-12-02,46718,37218,1841
2020-12-03,46837,37260,1846
2020-12-04,46837,37260,1846
2020-12-05,47072,37393,1864
2020-12-06,47306,37685,1874
2020-12-07,47516,37879,1900
2020-12-08,47716,37920,1906
2020-12-09,47851,38032,1919
2020-12-10,48053,38099,1935
2020-12-11,48116,38141,1945
2020-12-12,48229,38200,1956
2020-12-13,48527,38250,1965
2020-12-14,48718,38252,1969
2020-12-15,48952,38336,1995
2020-12-16,49161,38475,2011
2020-12-17,49378,38505,2025
2020-12-18,49621,38540,2030
2020-12-19,49681,38613,2047
2020-12-20,49817,39006,2067
2020-12-21,50013,39508,2082
2020-12-22,50190,39585,2096
2020-12-23,50433,39692,2117
2020-12-24,50655,40359,2126
2020-12-25,50810,40444,2139
2020-12-26,50886,40784,2149
2020-12-27,51039,41096,2160
2020-12-28,51280,41441,2174
2020-12-29,51350,41543,2179
2020-12-30,51405,41612,2181
2020-12-31,51526,41727,2191
2021-01-01,51526,41727,2191
2021-01-02,51526,41727,2191
2021-01-03,51526,41727,2191
2021-01-04,53011,42530,2237
2021-01-05,53105,42666,2244
2021-01-06,53105,42666,2244
2021-01-07,53207,43291,2253
2021-01-08,53332,43440,2257
2021-01-09,53400,43740,2264
2021-01-10,53489,43948,2277
2021-01-11,53538,44137,2288
2021-01-12,53584,44608,2301
2021-01-13,53584,44850,2301
2021-01-14,53775,45298,2314
2021-01-15,53831,45434,2324
2021-01-16,53938,45465,2336
2021-01-17,53984,45868,2339
2021-01-18,54062,46359,2343
2021-01-19,54141,46554,2346
2021-01-20,54278,46759,2354
2021-01-21,54403,46887,2363
2021-01-22,54483,46912,2370
2021-01-23,54559,46943,2373
2021-01-24,54595,47298,2378
2021-01-25,54672,47365,2385
2021-01-26,54750,47459,2389
2021-01-27,54854,47549,2389
2021-01-28,54891,47583,2397
2021-01-29,54939,47606,2399
2021-01-30,55008,47609,2400
2021-01-31,55023,47679,2400
2021-02-01,55059,47723,2404
2021-02-02,55121,47798,2405
2021-02-03,55174,47982,2406
2021-02-04,55231,47995,2407
2021-02-05,55265,48018,2407
2021-02-06,55330,48027,2408
2021-02-07,55335,48041,2410
2021-02-08,55359,48042,2413
2021-02-09,55384,48109,2414
2021-02-10,55402,48133,2418
2021-02-11,55420,48279,2419
2021-02-12,55445,48390,2424
2021-02-13,55473,48392,2427
2021-02-14,55492,48395,2427
2021-02-15,55514,48433,2427
2021-02-16,55518,48514,2428
2021-02-17,55540,48626,2428
2021-02-18,55557,48798,2430
2021-02-19,55575,48803,2430
2021-02-20,55580,48820,2430
2021-02-21,55604,48834,2432
2021-02-22,55617,48895,2433
2021-02-23,55646,48967,2435
2021-02-24,55664,49086,2436
2021-02-25,55680,49281,2438
2021-02-26,55696,49285,2442
2021-02-27,55707,49288,2443
2021-02-28,55714,49333,2443
2021-03-01,55733,49344,2444
2021-03-02,55759,49347,2446
2021-03-03,55770,49359,2446
2021-03-04,55775,49362,2446
2021-03-05,55827,49362,2449
2021-03-06,55840,49369,2449
2021-03-07,55847,49378,2449
2021-03-08,55876,49402,2451
2021-03-09,55876,49409,2451
2021-03-10,55894,49499,2451
2021-03-11,55917,49499,2451
2021-03-12,55959,49499,2454
2021-03-13,55959,49471,2454
2021-03-14,55985,49477,2457
2021-03-15,55985,49481,2459
2021-03-16,55995,49499,2460
2021-03-17,56016,49536,2460
2021-03-18,56044,49664,2462
2021-03-19,56069,49681,2462
2021-03-20,56093,49681,2462
2021-03-21,56103,49737,2463
2021-03-22,56153,49743,2464
2021-03-23,56177,49752,2466
2021-03-24,56192,49802,2466
2021-03-25,56226,49937,2467
2021-03-26,56254,49994,2467
2021-03-27,56290,49994,2469
2021-03-28,56294,50013,2470
2021-03-29,56322,50666,2472
2021-03-30,56384,51473,2476
2021-03-31,56454,51550,2484
2021-04-01,56517,51788,2489
2021-04-02,56572,51798,2495
2021-04-03,56595,51802,2496
2021-04-04,56676,51885,2497
2021-04-05,56717,51902,2508
2021-04-06,56779,51928,2512
2021-04-07,56873,51940,2512
2021-04-08,56943,51956,2516
2021-04-09,57019,51961,2521
2021-04-10,57144,51962,2521
2021-04-11,57160,51989,2521
2021-04-12,57242,52005,2529
2021-04-13,57364,52013,2529
2021-04-14,57492,52022,2532
2021-04-15,57534,52083,2533
2021-04-16,57612,52105,2535
2021-04-17,57721,52116,2539
2021-04-18,57793,52168,2539
2021-04-19,57898,52244,2546
2021-04-20,58037,52272,2549
2021-04-21,58214,52301,2557
2021-04-22,58312,52348,2561
2021-04-23,58542,52363,2565
2021-04-24,58730,52392,2572
2021-04-25,58843,52489,2582
2021-04-26,59015,52520,2592
2021-04-27,59225,52794,2598
2021-04-28,59370,52974,2611
2021-04-29,59576,53103,2618
2021-04-30,59745,53206,2625
2021-05-01,59939,53272,2631
2021-05-02,60122,53391,2637
2021-05-03,60300,53391,2642
2021-05-04,60563,53694,2648
2021-05-05,60797,53750,2654
2021-05-06,61162,53961,2664
2021-05-07,61455,54019,2673
2021-05-08,61755,54040,2683
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,2,0,0
2020-03-10,10,0,0
2020-03-11,12,0,1
2020-03-12,23,0,1
2020-03-13,33,0,1
2020-03-14,38,0,1
2020-03-15,42,0,1
2020-03-16,51,0,1
2020-03-17,55,0,1
2020-03-18,59,0,2
2020-03-19,64,0,2
2020-03-20,70,0,2
2020-03-21,76,2,2
2020-03-22,89,2,2
2020-03-23,104,2,4
2020-03-24,123,10,5
2020-03-25,146,17,5
2020-03-26,174,17,6
2020-03-27,186,31,8
2020-03-28,197,31,10
2020-03-29,212,33,10
2020-03-30,223,44,11
2020-03-31,243,52,15
2020-04-01,259,67,15
2020-04-02,277,76,16
2020-04-03,304,89,17
2020-04-04,333,99,20
2020-04-05,361,104,20
2020-04-06,377,116,21
2020-04-07,383,131,22
2020-04-08,400,154,22
2020-04-09,409,165,23
2020-04-10,416,182,23
2020-04-11,433,197,23
2020-04-12,446,217,23
2020-04-13,467,232,23
2020-04-14,475,248,24
2020-04-15,494,251,25
2020-04-16,518,277,26
2020-04-17,539,283,26
2020-04-18,548,302,26
2020-04-19,562,314,26
2020-04-20,584,327,26
2020-04-21,609,345,26
2020-04-22,634,356,27
2020-04-23,663,385,27
2020-04-24,678,394,27
2020-04-25,712,403,27
2020-04-26,726,410,28
2020-04-27,736,422,28
2020-04-28,750,431,30
2020-04-29,766,455,30
2020-04-30,773,470,31
2020-05-01,782,488,31
2020-05-02,789,519,31
2020-05-03,795,531,31
2020-05-04,803,543,31
2020-05-05,820,570,31
2020-05-06,832,595,31
2020-05-07,842,605,31
2020-05-08,850,620,31
2020-05-09,856,627,31
2020-05-10,868,650,31
2020-05-11,872,654,31
2020-05-12,876,682,31
2020-05-13,880,688,31
2020-05-14,898,694,31
2020-05-15,916,705,31
2020-05-16,933,714,31
2020-05-17,946,715,31
2020-05-18,948,727,31
2020-05-19,949,742,31
2020-05-20,964,758,31
2020-05-21,969,771,31
2020-05-22,981,777,31
2020-05-23,989,783,31
2020-05-24,998,789,32
2020-05-25,1004,795,32
2020-05-26,1029,803,33
2020-05-27,1050,812,33
2020-05-28,1076,823,33
2020-05-29,1099,851,33
2020-05-30,1122,857,33
2020-05-31,1137,872,33
2020-06-01,1143,877,33
2020-06-02,1164,891,33
2020-06-03,1184,898,33
2020-06-04,1197,898,33
2020-06-05,1212,910,33
2020-06-06,1232,925,34
2020-06-07,1246,938,34
2020-06-08,1263,945,34
2020-06-09,1299,960,34
2020-06-10,1341,980,34
2020-06-11,1385,1001,35
2020-06-12,1416,1034,36
2020-06-13,1464,1039,36
2020-06-14,1521,1044,36
2020-06-15,1590,1055,36
2020-06-16,1672,1064,37
2020-06-17,1722,1077,38
2020-06-18,1788,1086,39
2020-06-19,1838,1114,42
2020-06-20,1891,1126,43
2020-06-21,1962,1134,44
2020-06-22,1995,1159,44
2020-06-23,2047,1195,45
2020-06-24,2114,1217,47
2020-06-25,2192,1250,49
2020-06-26,2269,1298,51
2020-06-27,2330,1346,53
2020-06-28,2402,1384,55
2020-06-29,2466,1438,58
2020-06-30,2535,1459,62
2020-07-01,2580,1516,65
2020-07-02,2662,1559,69
2020-07-03,2752,1592,72
2020-07-04,2819,1637,74
2020-07-05,2893,1657,76
2020-07-06,2964,1702,79
2020-07-07,3038,1744,81
2020-07-08,3106,1791,83
2020-07-09,3188,1832,83
2020-07-10,3278,1875,85
2020-07-11,3371,1881,89
2020-07-12,3454,1946,93
2020-07-13,3571,2014,95
2020-07-14,3667,2062,97
2020-07-15,3752,2091,101
2020-07-16,3851,2137,104
2020-07-17,3906,2214,107
2020-07-18,4008,2264,111
2020-07-19,4090,2311,112
2020-07-20,4171,2352,113
2020-07-21,4290,2397,117
2020-07-22,4358,2463,120
2020-07-23,4466,2523,123
2020-07-24,4570,2608,128
2020-07-25,4637,2637,134
2020-07-26,4763,2682,138
2020-07-27,4880,2745,144
2020-07-28,4997,2789,148
2020-07-29,5105,2830,150
2020-07-30,5197,2883,154
2020-07-31,5276,2952,157
2020-08-01,5396,2961,161
2020-08-02,5519,3018,166
2020-08-03,5620,3031,172
2020-08-04,5750,3031,176
2020-08-05,5889,3123,182
2020-08-06,6016,3155,188
2020-08-07,6151,3227,189
2020-08-08,6275,3268,193
2020-08-09,6411,3342,199
2020-08-10,6536,3379,200
2020-08-11,6676,3480,205
2020-08-12,6817,3552,208
2020-08-13,6971,3616,213
2020-08-14,7117,3695,219
2020-08-15,7260,3746,225
2020-08-16,7380,3794,228
2020-08-17,7499,3816,230
2020-08-18,7654,3871,232
2020-08-19,7812,3928,234
2020-08-20,7967,3986,238
2020-08-21,8119,4096,240
2020-08-22,8275,4184,245
2020-08-23,8427,4332,250
2020-08-24,8605,4413,254
2020-08-25,8759,4530,259
2020-08-26,8927,4633,263
2020-08-27,9083,4791,266
2020-08-28,9195,4923,271
2020-08-29,9279,5020,275
2020-08-30,9380,5139,280
2020-08-31,9513,5214,284
2020-09-01,9606,5441,290
2020-09-02,9728,5582,296
2020-09-03,9844,5732,301
2020-09-04,9967,5882,306
2020-09-05,10102,5976,312
2020-09-06,10255,6106,316
2020-09-07,10406,6186,319
2020-09-08,10553,6239,321
2020-09-09,10704,6284,322
2020-09-10,10860,6346,324
2020-09-11,11021,6443,327
2020-09-12,11185,6494,330
2020-09-13,11353,6569,334
2020-09-14,11520,6615,338
2020-09-15,11672,6668,340
2020-09-16,11816,6733,343
2020-09-17,11948,6788,347
2020-09-18,12073,6831,353
2020-09-19,12226,6888,358
2020-09-20,12385,6940,362
2020-09-21,12535,6995,364
2020-09-22,12666,7042,367
2020-09-23,12787,7139,370
2020-09-24,12921,7239,370
2020-09-25,13045,7309,373
2020-09-26,13153,7397,375
2020-09-27,13259,7397,377
2020-09-28,13391,7629,380
2020-09-29,13518,7732,384
2020-09-30,13649,7847,387
2020-10-01,13806,8077,388
2020-10-02,13965,8342,389
2020-10-03,14117,8536,392
2020-10-04,14266,8675,396
2020-10-05,14410,8825,400
2020-10-06,14568,8965,403
2020-10-07,14730,9115,407
2020-10-08,14899,9215,411
2020-10-09,15066,9304,413
2020-10-10,15231,9406,416
2020-10-11,15399,9500,420
2020-10-12,15570,9585,424
2020-10-13,15752,9675,429
2020-10-14,15955,9762,434
2020-10-15,16212,9864,439
2020-10-16,16501,9957,443
2020-10-17,16774,10001,448
2020-10-18,17055,10071,451
2020-10-19,17350,10167,454
2020-10-20,17651,10225,458
2020-10-21,17948,10341,462
2020-10-22,18250,10395,465
2020-10-23,18556,10466,469
2020-10-24,18858,10548,473
2020-10-25,19157,10654,477
2020-10-26,19445,10705,480
2020-10-27,19729,10808,487
2020-10-28,20040,10893,493
2020-10-29,20315,11007,499
2020-10-30,20634,11097,502
2020-10-31,20875,11189,509
2020-11-01,21202,11246,518
2020-11-02,21523,11367,527
2020-11-03,21904,11473,532
2020-11-04,22300,11578,536
2020-11-05,22721,11696,543
2020-11-06,23210,11861,549
2020-11-07,23705,12002,557
2020-11-08,24206,12092,559
2020-11-09,24731,12203,571
2020-11-10,25294,12353,579
2020-11-11,25801,12493,590
2020-11-12,26211,12574,598
2020-11-13,26701,12667,605
2020-11-14,27233,12767,612
2020-11-15,27830,12889,623
2020-11-16,28432,13453,631
2020-11-17,29126,13804,637
2020-11-18,29837,14216,646
2020-11-19,30623,14565,657
2020-11-20,31459,15055,672
2020-11-21,32196,15469,685
2020-11-22,32761,15842,699
2020-11-23,33556,16230,716
2020-11-24,34300,16666,735
2020-11-25,34944,17031,743
2020-11-26,35600,17352,753
2020-11-27,36245,17755,771
2020-11-28,36790,18152,787
2020-11-29,37625,18481,798
2020-11-30,38182,18849,810
2020-12-01,39014,19384,822
2020-12-02,39719,19912,839
2020-12-03,40501,20484,852
2020-12-04,41302,20974,870
2020-12-05,42148,21286,889
2020-12-06,42988,21617,905
2020-12-07,43683,22180,922
2020-12-08,44436,22527,936
2020-12-09,45188,23072,951
2020-12-10,46061,23609,965
2020-12-11,46863,24136,977
2020-12-12,47742,24520,989
2020-12-13,48530,24820,1003
2020-12-14,49191,24820,1016
2020-12-15,50000,25876,1028
2020-12-16,50637,26381,1040
2020-12-17,51424,26898,1055
2020-12-18,52004,27426,1066
2020-12-19,52542,27831,1074
2020-12-20,53003,28121,1088
2020-12-21,53425,28752,1098
2020-12-22,53814,29249,1111
2020-12-23,54317,29799,1117
2020-12-24,54827,30276,1125
2020-12-25,55380,30790,1134
2020-12-26,55755,31181,1143
2020-12-27,56254,31565,1153
2020-12-28,56572,32122,1164
2020-12-29,57146,32700,1170
2020-12-30,57727,33185,1174
2020-12-31,58316,33634,1181
2021-01-01,58316,33634,1181
2021-01-02,58991,34353,1190
2021-01-03,59438,34648,1193
2021-01-04,59623,34996,1199
2021-01-05,60283,35551,1210
2021-01-06,61008,36102,1217
2021-01-07,61705,36535,1223
2021-01-08,62378,36971,1230
2021-01-09,63033,37327,1233
2021-01-10,63595,37648,1241
2021-01-11,63971,37981,1247
2021-01-12,64627,38421,1252
2021-01-13,65334,38860,1256
2021-01-14,65994,39246,1261
2021-01-15,66635,39625,1265
2021-01-16,67216,40090,1270
2021-01-17,67690,40453,1277
2021-01-18,67982,40870,1281
2021-01-19,68568,41464,1287
2021-01-20,69238,41969,1291
2021-01-21,69916,42426,1296
2021-01-22,70655,42895,1303
2021-01-23,71441,43384,1310
2021-01-24,72274,43890,1315
2021-01-25,72812,44291,1324
2021-01-26,73691,44880,1332
2021-01-27,74567,45383,1339
2021-01-28,75454,45906,1350
2021-01-29,76350,46420,1358
2021-01-30,77251,46927,1369
2021-01-31,78127,47424,1380
2021-02-01,78992,47922,1393
2021-02-02,79934,48377,1398
2021-02-03,80941,48958,1404
2021-02-04,81993,49543,1418
2021-02-05,83082,50219,1433
2021-02-06,84212,50875,1446
2021-02-07,85336,51444,1460
2021-02-08,86289,52128,1472
2021-02-09,87528,52933,1488
2021-02-10,88671,53616,1503
2021-02-11,89776,54362,1517
2021-02-12,90835,55243,1531
2021-02-13,91987,55983,1543
2021-02-14,93075,56764,1555
2021-02-15,93850,57736,1567
2021-02-16,94651,58794,1582
2021-02-17,95726,59684,1600
2021-02-18,96838,60675,1617
2021-02-19,97909,61605,1636
2021-02-20,99062,62533,1653
2021-02-21,100246,63329,1666
2021-02-22,101285,64318,1681
2021-02-23,102306,65403,1696
2021-02-24,103327,66309,1715
2021-02-25,104313,67158,1736
2021-02-26,105229,68007,1756
2021-02-27,106215,68969,1775
2021-02-28,107167,69773,1796
2021-03-01,107931,70413,1816
2021-03-02,108823,71173,1835
2021-03-03,109674,72076,1856
2021-03-04,110521,72853,1876
2021-03-05,111301,73610,1897
2021-03-06,112078,74352,1918
2021-03-07,112897,75190,1939
2021-03-08,113580,75887,1956
2021-03-09,114209,76784,1969
2021-03-10,114840,77498,1986
2021-03-11,115442,78259,2002
2021-03-12,116123,79131,2018
2021-03-13,116821,79821,2030
2021-03-14,117474,80483,2045
2021-03-15,118017,81061,2060
2021-03-16,118492,81810,2077
2021-03-17,118938,82554,2092
2021-03-18,119528,83264,2106
2021-03-19,120022,83954,2122
2021-03-20,120541,84625,2133
2021-03-21,121200,85147,2137
2021-03-22,121544,85846,2145
2021-03-23,121847,86497,2156
2021-03-24,122295,87193,2171
2021-03-25,122767,87760,2184
2021-03-26,123216,88349,2192
2021-03-27,123641,88899,2204
2021-03-28,124134,89456,2210
2021-03-29,124419,90024,2216
2021-03-30,124723,90617,2227
2021-03-31,125157,91271,2235
2021-04-01,125506,91875,2241
2021-04-02,125842,92500,2247
2021-04-03,126183,93173,2256
2021-04-04,126531,93842,2265
2021-04-05,126795,94431,2274
2021-04-06,126936,95035,2283
2021-04-07,127192,95600,2291
2021-04-08,127509,96129,2297
2021-04-09,127795,96672,2304
2021-04-10,128155,97206,2310
2021-04-11,128393,97723,2317
2021-04-12,128518,98269,2321
2021-04-13,128752,98903,2326
2021-04-14,128959,99441,2331
2021-04-15,129128,100013,2335
2021-04-16,129307,100600,2337
2021-04-17,129456,101142,2340
2021-04-18,129594,101584,2342
2021-04-19,129694,102171,2347
2021-04-20,129842,102601,2353
2021-04-21,129980,103066,2358
2021-04-22,130114,103582,2364
2021-04-23,130270,104278,2367
2021-04-24,130409,105016,2372
2021-04-25,130537,105728,2378
